Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(34.48657, -116.9592)",52527,Lucerne Valley 095,Valid,CK5,2008,34.48657,-116.9592,1.1
Found,"(34.48712, -116.96147)",52526,Lucerne Valley 094,Valid,CK5,2008,34.48712,-116.96147,3.5
Found,"(34.48388, -116.9501)",52465,Lucerne Valley 120,Valid,L6,2010,34.48388,-116.9501,43.1
Found,"(34.4887, -116.9788)",52464,Lucerne Valley 093,Valid,L6,2007,34.4887,-116.9788,3.93
Found,"(34.48148, -116.95325)",52463,Lucerne Valley 092,Valid,H5,2007,34.48148,-116.95325,0.6
Found,"(34.48075, -116.9788)",52462,Lucerne Valley 091,Valid,H4,2007,34.48075,-116.9788,12.7
Found,"(34.48823, -116.97797)",52461,Lucerne Valley 090,Valid,L5,2007,34.48823,-116.97797,30.7
Found,"(34.48972, -116.98128)",52460,Lucerne Valley 089,Valid,L5,2007,34.48972,-116.98128,2.6
Found,"(32.00415, -110.37503)",52414,Galleta Flat,Valid,H4,2009,32.00415,-110.37503,392
Found,"(35.04568, -117.26658)",52112,Harper Dry Lake 029,Valid,H6,2008,35.04568,-117.26658,11.56
Found,"(33.721, -101.8389)",52094,New Deal,Valid,H6,2010,33.721,-101.8389,266
Fell,"(42.9075, -90.36556)",52090,Mifflin,Valid,L5,2010,42.9075,-90.36556,3584
Found,"(39.6884, -117.62422)",52014,Tungsten Mountain 541,Valid,H3.8,2007,39.6884,-117.62422,5.7
Found,"(33.01222, -114.86667)",52013,Chocolate Mountains,Valid,Ureilite,2004,33.01222,-114.86667,699
Found,"(39.68105, -117.61325)",51856,Tungsten Mountain 572,Valid,H6,2007,39.68105,-117.61325,10.7
Found,"(39.6772, -117.62858)",51855,Tungsten Mountain 563,Valid,H5,2007,39.6772,-117.62858,9.3
Found,"(39.68938, -117.62032)",51854,Tungsten Mountain 543,Valid,H4,2007,39.68938,-117.62032,18.1
Found,"(39.6872, -117.62618)",51853,Tungsten Mountain 542,Valid,H5,2007,39.6872,-117.62618,4.6
Found,"(39.68908, -117.62257)",51852,Tungsten Mountain 535,Valid,H4,2007,39.68908,-117.62257,26.1
Found,"(39.68945, -117.62358)",51851,Tungsten Mountain 533,Valid,H5,2007,39.68945,-117.62358,25.3
Found,"(32.24611, -99.99306)",51831,Buffalo Gap,Valid,"Iron, IAB-ung",2003,32.24611,-99.99306,9300
Found,"(29.7725, -99.875)",51830,Camp Wood,Valid,"Iron, IIIAB",,29.7725,-99.875,148000
Found,"(42.03839, -120.58942)",51738,Fitzwater Pass,Valid,"Iron, IIIF",1974,42.03839,-120.58942,65.4
Found,"(44.93389, -116.43167)",51737,Tamarack,Valid,"Iron, IIAB",2004,44.93389,-116.43167,41
Found,"(45.5, -119.5)",51707,Morrow County,Valid,L6,1999,45.5,-119.5,18200
Found,"(39.67888, -117.62945)",51585,Tungsten Mountain 204,Valid,H4,2005,39.67888,-117.62945,41.6
Found,"(32.18843, -109.84563)",51584,Willcox Playa 007,Valid,L6,2004,32.18843,-109.84563,62.4
Found,"(32.11288, -109.89265)",51583,Willcox Playa 006,Valid,H6,2004,32.11288,-109.89265,3.1
Found,"(32.0939, -109.88412)",51582,Willcox Playa 005,Valid,H5,2004,32.0939,-109.88412,278.4
Found,"(32.14202, -109.82423)",51581,Willcox Playa 004,Valid,L6,2004,32.14202,-109.82423,19.9
Found,"(40.26667, -118.93333)",51579,Bluewing 036,Valid,L6,1999,40.26667,-118.93333,10.47
Found,"(40.26667, -118.93333)",51578,Bluewing 035,Valid,L6,1999,40.26667,-118.93333,12.56
Found,"(40.26667, -118.93333)",51577,Bluewing 034,Valid,H5,1999,40.26667,-118.93333,34
Found,"(40.26667, -118.93333)",51576,Bluewing 033,Valid,L5,1999,40.26667,-118.93333,287.44
Found,"(40.26667, -118.93333)",51575,Bluewing 031,Valid,H5,1999,40.26667,-118.93333,170
Found,"(40.26667, -118.93333)",51574,Bluewing 030,Valid,H5,1999,40.26667,-118.93333,18.81
Found,"(35.3, -117.4605)",51573,Cuddeback Dry Lake 021,Valid,L6,2004,35.3,-117.4605,31.72
Found,"(30.20186, -111.93587)",51052,La Ci_nega,Valid,H6,2007,30.20186,-111.93587,7632
Found,"(37.01667, -95.66667)",51051,Coffeyville,Valid,H5,2006,37.01667,-95.66667,35900
Found,"(38.1995, -99.162)",50998,Larned,Valid,Aubrite-an,1977,38.1995,-99.162,28100
Found,"(32.91745, -114.767183)",50912,Cargo Muchacho Mountains,Valid,CO3,2000,32.91745,-114.767183,2860
Fell,"(43.2, -79.61667)",50911,Grimsby,Valid,H5,2009,43.2,-79.61667,215
Found,"(45.0, -79.06667)",50910,Wood Lake,Valid,H4,2003,45,-79.06667,350
Found,"(39.683333, -117.616667)",50908,Tungsten Mountain 011,Valid,CV3,2003,39.683333,-117.616667,186.52
Found,"(33.71333, -113.275)",50765,Big Horn Mountains,Valid,H4,2006,33.71333,-113.275,91.9
Found,"(40.95805, -118.35305)",50764,Jungo 003,Valid,H6,2007,40.95805,-118.35305,29.1
Found,"(40.89805, -118.35388)",50763,Jungo 002,Valid,H6,2007,40.89805,-118.35388,27.8
Found,"(40.89055, -118.36278)",50762,Jungo 001,Valid,L6,2007,40.89055,-118.36278,70.7
Fell,"(31.96185, -110.434183)",49514,Whetstone Mountains,Valid,H5,2009,31.96185,-110.434183,2138.74
Found,"(33.736667, -103.623333)",48991,Roosevelt County 110,Valid,L4,1987,33.736667,-103.623333,73.7
Found,"(36.29533, -105.04833)",48976,Ocate,Valid,"Iron, IAB-MG",1986,36.29533,-105.04833,6400
Found,"(33.00383, -105.85083)",48962,La Luz,Valid,H4,2005,33.00383,-105.85083,4798
Fell,"(31.805, -97.01)",48954,Ash Creek,Valid,L6,2009,31.805,-97.01,9500
Found,"(36.55722, -114.42694)",48952,Moapa Valley,Valid,CM1,2004,36.55722,-114.42694,698.8
Found,"(34.21667, -103.18333)",48914,Roosevelt County 109,Valid,L6,2005,34.21667,-103.18333,17.3
Found,"(24.26, -102.14083)",48690,Nuevo Mercurio (c),Valid,H5-6,,24.26,-102.14083,16.8
Found,"(32.5, -111.28)",48657,Naviska,Valid,"Iron, IAB complex",2004,32.5,-111.28,147
Found,"(32.319, -111.077)",48655,Desert Willow,Valid,H4/5,2007,32.319,-111.077,11.3
Found,"(32.95, -114.666667)",47732,Winterhaven,Valid,Howardite,2002,32.95,-114.666667,2100
Found,"(32.133333, -82.983333)",47731,Jay Bird Springs,Valid,Pallasite,2003,32.133333,-82.983333,292
Found,"(32.788333, -101.938333)",47730,Grandview,Valid,L5,2008,32.788333,-101.938333,6400
Found,"(34.21667, -103.18333)",47360,Roosevelt County 108,Valid,H5,2004,34.21667,-103.18333,4.75
